Year,Quarter,Trips
2010,2010-01-01,20762.35186
2010,2010-04-01,19308.77066
2010,2010-07-01,19908.41184
2010,2010-10-01,20220.72984
2011,2011-01-01,20909.55949
2011,2011-04-01,20813.47538
2011,2011-07-01,20880.87125
2011,2011-10-01,20598.30827
2012,2012-01-01,22580.39264
2012,2012-04-01,20711.85333
2012,2012-07-01,20099.28305
2012,2012-10-01,22102.31075
2013,2013-01-01,22712.68406
2013,2013-04-01,21499.96277
2013,2013-07-01,20792.44617
2013,2013-10-01,21763.84155
2014,2014-01-01,24462.34559
2014,2014-04-01,23302.00335
2014,2014-07-01,21308.95405
2014,2014-10-01,23438.51611
2015,2015-01-01,25810.46929
2015,2015-04-01,24108.11641
2015,2015-07-01,23712.79285
2015,2015-10-01,25759.42918
2016,2016-01-01,27492.36037
2016,2016-04-01,24791.79776
2016,2016-07-01,24696.07981
2016,2016-10-01,27017.07781
